time_ms,sample_idx,ecg_v,ecg_ac_v,ppg,lead_off
682569,170591,1.6907,0.0,85618,0
682573,170592,1.6859,-0.0024,85558,0
682577,170593,1.6923,0.0027,86146,0
682581,170594,1.7036,0.0105,85583,0
682585,170595,1.6979,0.0039,86147,0
682589,170596,1.6955,0.0012,86147,0
682593,170597,1.6996,0.0045,85592,0
682597,170598,1.7084,0.0117,86167,0
682601,170599,1.7068,0.009,85606,0
682605,170600,1.6979,0.0001,86176,0
682609,170601,1.6963,-0.0014,86176,0
682613,170602,1.7004,0.0024,86154,0
682617,170603,1.7116,0.0126,86154,0
682621,170604,1.7116,0.0117,85648,0
682625,170605,1.7133,0.0125,86208,0
682629,170606,1.7237,0.0215,85628,0
682633,170607,1.7302,0.0263,86243,0
682637,170608,1.7278,0.0226,86243,0
682641,170609,1.731,0.0244,85618,0
682645,170610,1.7326,0.0247,86259,0
682649,170611,1.7294,0.0205,85644,0
682653,170612,1.7189,0.0096,85607,0
682657,170613,1.7116,0.0022,85607,0
682661,170614,1.7213,0.0114,85647,0
682665,170615,1.7415,0.0303,86313,0
682669,170616,1.7382,0.026,85691,0
682673,170617,1.7245,0.0118,86317,0
682677,170618,1.7213,0.0083,86317,0
682681,170619,1.7302,0.0166,85702,0
682685,170620,1.7374,0.023,86353,0
682689,170621,1.7294,0.0145,85721,0
682693,170622,1.7253,0.0101,86365,0
682697,170623,1.7318,0.0161,86365,0
682701,170624,1.7342,0.018,86343,0
682705,170625,1.7229,0.0065,86343,0
682709,170626,1.7116,-0.0047,85766,0
682713,170627,1.7157,-0.0006,86419,0
682717,170628,1.7286,0.012,85726,0
682721,170629,1.7366,0.0195,86431,0
682725,170630,1.7374,0.0198,86431,0
682729,170631,1.7415,0.0233,85708,0
682733,170632,1.7423,0.0235,86443,0
682737,170633,1.7382,0.019,85727,0
682741,170634,1.727,0.0075,86435,0
682745,170635,1.7221,0.0027,86435,0
682749,170636,1.7278,0.0081,85697,0
682753,170637,1.7294,0.0095,86433,0
682757,170638,1.7197,-0.0002,85706,0
