time_ms,sample_idx,ecg_v,ecg_ac_v,ppg,lead_off
1,123009,1.673,0.0,87275,0
492245,123010,1.677,0.002,86867,0
492249,123011,1.6891,0.0094,87278,0
492253,123012,1.6859,0.0046,86823,0
492257,123013,1.6762,-0.004,87256,0
492261,123014,1.6786,-0.0013,87256,0
492265,123015,1.6963,0.014,86781,0
492269,123016,1.6988,0.0144,87332,0
492273,123017,1.677,-0.0065,86818,0
492277,123018,1.6762,-0.0066,87316,0
492281,123019,1.6899,0.0064,87316,0
492285,123020,1.6979,0.0133,86802,0
492289,123021,1.6899,0.0048,87334,0
492293,123022,1.6915,0.006,86831,0
492297,123023,1.6955,0.0093,86971,0
492301,123024,1.6947,0.008,86971,0
492305,123025,1.6834,-0.0031,86818,0
492309,123026,1.6834,-0.0029,87373,0
492313,123027,1.6963,0.0095,86846,0
492317,123028,1.7149,0.0266,87370,0
492321,123029,1.7141,0.0246,87370,0
492325,123030,1.7028,0.0127,87371,0
492329,123031,1.6988,0.0083,87371,0
492333,123032,1.7084,0.0172,86911,0
492337,123033,1.7116,0.0196,87392,0
492341,123034,1.6988,0.0064,86892,0
492345,123035,1.6931,0.0008,87368,0
492349,123036,1.7108,0.0178,87368,0
492353,123037,1.7173,0.0235,86855,0
492357,123038,1.702,0.0079,87418,0
492361,123039,1.6963,0.0022,86942,0
492365,123040,1.71,0.0154,87429,0
492369,123041,1.7181,0.0227,87429,0
492373,123042,1.7092,0.0134,86951,0
492377,123043,1.7028,0.0068,87463,0
492381,123044,1.7084,0.0121,86962,0
492385,123045,1.7116,0.0149,87492,0
492389,123046,1.7068,0.0098,87492,0
492393,123047,1.6988,0.0017,87492,0
492397,123048,1.702,0.0048,87527,0
492401,123049,1.7149,0.0173,86994,0
492405,123050,1.7108,0.0129,87511,0
492409,123051,1.6923,-0.0055,87511,0
492413,123052,1.6955,-0.0022,87487,0
492417,123053,1.7108,0.0128,87487,0
492421,123054,1.7116,0.0133,86923,0
492425,123055,1.6931,-0.0051,87535,0
492429,123056,1.6875,-0.0105,86935,0
492433,123057,1.702,0.0039,87519,0
492437,123058,1.7116,0.0133,87519,0
492441,123059,1.7028,0.0043,86883,0
492445,123060,1.6947,-0.0036,87497,0
492449,123061,1.7052,0.0067,86923,0
492453,123062,1.7141,0.0153,87459,0
492457,123063,1.7092,0.0103,87459,0
492461,123064,1.6988,-0.0002,86899,0
492465,123065,1.706,0.0069,87392,0
492469,123066,1.7165,0.0171,86897,0
492473,123067,1.7149,0.0152,87322,0
492477,123068,1.706,0.0062,87322,0
492481,123069,1.706,0.0061,87264,0
492485,123070,1.7213,0.0211,87264,0
492489,123071,1.7221,0.0216,86936,0
492493,123072,1.7133,0.0125,87151,0
492497,123073,1.7173,0.0163,86892,0
492501,123074,1.7262,0.0248,87027,0
492505,123075,1.731,0.0292,87027,0
492509,123076,1.7213,0.0192,86869,0
492513,123077,1.7125,0.0102,86988,0
492517,123078,1.7229,0.0204,86920,0
492521,123079,1.7358,0.0328,86939,0
492525,123080,1.7519,0.0482,86939,0
492529,123081,1.7777,0.073,86908,0
492533,123082,1.8124,0.1062,86896,0
492537,123083,1.8478,0.1398,86961,0
492541,123084,1.8519,0.1419,86860,0
492545,123085,1.8382,0.1265,86860,0
492549,123086,1.8221,0.109,86963,0
492553,123087,1.8212,0.1068,86867,0
492557,123088,1.8325,0.1166,86996,0
492561,123089,1.8503,0.1327,86823,0
492565,123090,1.8664,0.147,86823,0
492569,123091,1.8922,0.1707,86781,0
492573,123092,1.876,0.1528,86781,0
492577,123093,1.8253,0.1008,87026,0
492581,123094,1.7979,0.0725,86818,0
492585,123095,1.7834,0.0574,87044,0
492589,123096,1.7826,0.0559,86802,0
492593,123097,1.7721,0.0449,86802,0
492597,123098,1.7656,0.0381,87028,0
492601,123099,1.7632,0.0352,86831,0
492605,123100,1.7673,0.0388,87093,0
492609,123101,1.7431,0.0145,86818,0
492613,123102,1.7189,-0.0096,86818,0
492617,123103,1.7052,-0.023,87100,0
492621,123104,1.7133,-0.0148,86846,0
492625,123105,1.706,-0.0218,87120,0
492629,123106,1.6963,-0.0312,86846,0
492633,123107,1.6988,-0.0285,86846,0
492637,123108,1.7133,-0.0138,86911,0
492641,123109,1.7125,-0.0145,86911,0
492645,123110,1.7004,-0.0263,87200,0
492649,123111,1.6955,-0.0308,86892,0
492653,123112,1.7076,-0.0186,87195,0
492657,123113,1.7133,-0.0128,86855,0
492661,123114,1.6979,-0.0279,86855,0
492665,123115,1.6923,-0.0332,87181,0
492669,123116,1.71,-0.0153,86942,0
492673,123117,1.7189,-0.0064,87226,0
492677,123118,1.7133,-0.0119,86951,0
492681,123119,1.702,-0.023,86951,0
492685,123120,1.7181,-0.0068,87209,0
492689,123121,1.7544,0.0292,86962,0
492693,123122,1.7834,0.0577,87250,0
492697,123123,1.8092,0.0828,87492,0
492701,123124,1.818,0.0908,87492,0
492705,123125,1.8599,0.1316,87279,0
492709,123126,1.9832,0.2527,86994,0
492713,123127,2.2516,0.5167,87272,0
492717,123128,2.5908,0.8488,86962,0
492721,123129,2.7166,0.9665,86962,0
492725,123130,2.5771,0.8203,86923,0
492729,123131,2.1525,0.3924,86923,0
492733,123132,1.6907,-0.0688,87351,0
492737,123133,1.4232,-0.3337,86935,0
492741,123134,1.3643,-0.3894,87329,0
492745,123135,1.4344,-0.3167,86883,0
492749,123136,1.5336,-0.2159,86883,0
492753,123137,1.5924,-0.1559,87302,0
492757,123138,1.6311,-0.1163,86923,0
492761,123139,1.6754,-0.0714,87356,0
492765,123140,1.7262,-0.0205,86899,0
492769,123141,1.7608,0.0141,86899,0
492773,123142,1.7826,0.0355,87353,0
492777,123143,1.7834,0.0361,86897,0
492781,123144,1.764,0.0166,87381,0
492785,123145,1.76,0.0125,86901,0
492789,123146,1.7761,0.0284,86901,0
492793,123147,1.789,0.041,87393,0
492797,123148,1.7793,0.0311,86936,0
492801,123149,1.7777,0.0293,87415,0
492805,123150,1.7971,0.0483,86892,0
492809,123151,1.8229,0.0736,86892,0
492813,123152,1.8196,0.0698,86869,0
492817,123153,1.8019,0.0518,86869,0
492821,123154,1.8051,0.0546,87446,0
492825,123155,1.8196,0.0686,86920,0
492829,123156,1.8237,0.0722,87453,0
492833,123157,1.8124,0.0605,86908,0
492837,123158,1.8156,0.0633,86908,0
492841,123159,1.8317,0.0789,87422,0
492845,123160,1.8374,0.084,86961,0
492849,123161,1.8374,0.0834,87496,0
492853,123162,1.8317,0.0773,86963,0
492857,123163,1.8511,0.096,86963,0
492861,123164,1.8623,0.1066,87525,0
492865,123165,1.8599,0.1035,86996,0
492869,123166,1.8632,0.106,87530,0
492873,123167,1.8889,0.131,86999,0
492877,123168,1.9042,0.1454,86999,0
492881,123169,1.8986,0.1389,86999,0
492885,123170,1.8881,0.1276,87026,0
492889,123171,1.9083,0.1469,87590,0
492893,123172,1.9325,0.17,87044,0
492897,123173,1.9429,0.1794,87587,0
492901,123174,1.9413,0.1767,87028,0
492905,123175,1.9542,0.1885,87028,0
492909,123176,1.9856,0.2186,87569,0
492913,123177,1.9953,0.2269,87093,0
492917,123178,1.9961,0.2264,87587,0
492921,123179,2.0114,0.2403,87100,0
492925,123180,2.0445,0.2717,87100,0
492929,123181,2.0638,0.2894,87521,0
492933,123182,2.0566,0.2805,87120,0
492937,123183,2.059,0.2813,87511,0
492941,123184,2.0807,0.3013,87139,0
492945,123185,2.0952,0.314,87139,0
492949,123186,2.0896,0.3067,87442,0
492953,123187,2.0823,0.2977,87200,0
492957,123188,2.0832,0.2969,87350,0
492961,123189,2.0759,0.288,87195,0
492965,123190,2.0501,0.2608,87195,0
492969,123191,2.0211,0.2305,87181,0
492973,123192,1.9953,0.2036,87181,0
492977,123193,1.9703,0.1777,87205,0
492981,123194,1.9316,0.1383,87226,0
492985,123195,1.8777,0.0838,87078,0
492989,123196,1.847,0.0529,87209,0
492993,123197,1.8285,0.0342,87209,0
492997,123198,1.8067,0.0124,86945,0
493001,123199,1.76,-0.0342,87250,0
493005,123200,1.7318,-0.0621,86949,0
493009,123201,1.7237,-0.0698,87279,0
493013,123202,1.7084,-0.0846,87279,0
493017,123203,1.6859,-0.1067,86896,0
493021,123204,1.6746,-0.1173,87272,0
493025,123205,1.6867,-0.1047,86854,0
493029,123206,1.6915,-0.0994,87300,0
493033,123207,1.673,-0.1173,87300,0
493037,123208,1.6552,-0.1344,86830,0
493041,123209,1.6641,-0.1249,87351,0
493045,123210,1.6762,-0.1122,86811,0
493049,123211,1.6778,-0.1101,87329,0
493053,123212,1.6665,-0.1208,87329,0
493057,123213,1.6681,-0.1186,87302,0
493061,123214,1.677,-0.1092,87302,0
493065,123215,1.6794,-0.1062,86843,0
493069,123216,1.6746,-0.1105,87356,0
493073,123217,1.6657,-0.1188,86810,0
493077,123218,1.6762,-0.1078,87353,0
493081,123219,1.6899,-0.0937,87353,0
493085,123220,1.6826,-0.1005,86769,0
493089,123221,1.681,-0.1016,87381,0
493093,123222,1.6891,-0.0931,86819,0
493097,123223,1.6963,-0.0855,87393,0
493101,123224,1.6923,-0.0891,87393,0
493105,123225,1.6891,-0.0919,86823,0
493109,123226,1.6955,-0.085,87415,0
493113,123227,1.7092,-0.071,86846,0
493117,123228,1.7084,-0.0715,87422,0
493121,123229,1.6939,-0.0856,87422,0
493125,123230,1.6923,-0.0868,87446,0
493129,123231,1.7052,-0.0736,87446,0
493133,123232,1.7125,-0.066,86887,0
493137,123233,1.7028,-0.0754,87453,0
493141,123234,1.7084,-0.0694,86890,0
493145,123235,1.7141,-0.0635,87422,0
493149,123236,1.7181,-0.0592,87422,0
493153,123237,1.7036,-0.0734,86872,0
493157,123238,1.6931,-0.0835,87496,0
493161,123239,1.7044,-0.0719,86910,0
493165,123240,1.7125,-0.0636,87525,0
493169,123241,1.7004,-0.0753,87525,0
493173,123242,1.6931,-0.0822,86888,0
493177,123243,1.7044,-0.0707,87530,0
493181,123244,1.7084,-0.0664,86933,0
493185,123245,1.702,-0.0725,86999,0
493189,123246,1.6955,-0.0786,86999,0
493193,123247,1.702,-0.0719,86944,0
493197,123248,1.7149,-0.0587,87590,0
493201,123249,1.7084,-0.0649,86944,0
493205,123250,1.6923,-0.0807,87587,0
493209,123251,1.6988,-0.0739,87587,0
493213,123252,1.7141,-0.0584,87569,0
493217,123253,1.7116,-0.0605,87569,0
493221,123254,1.6979,-0.0739,86962,0
493225,123255,1.6899,-0.0817,87587,0
493229,123256,1.7028,-0.0685,86921,0
493233,123257,1.7125,-0.0586,87521,0
493237,123258,1.7068,-0.064,87521,0
493241,123259,1.702,-0.0689,86865,0
493245,123260,1.7084,-0.0626,87511,0
493249,123261,1.7092,-0.0619,86888,0
493253,123262,1.7004,-0.0708,87442,0
493257,123263,1.6955,-0.0757,87442,0
493261,123264,1.7036,-0.0678,86881,0
493265,123265,1.7189,-0.0525,87350,0
493269,123266,1.7157,-0.0558,86888,0
493273,123267,1.702,-0.0696,87270,0
493277,123268,1.6988,-0.0729,87270,0
493281,123269,1.7084,-0.0633,86884,0
493285,123270,1.7173,-0.0546,87205,0
493289,123271,1.6955,-0.0763,86880,0
493293,123272,1.6923,-0.0796,87078,0
493297,123273,1.702,-0.0699,87078,0
493301,123274,1.7052,-0.0667,86945,0
493305,123275,1.702,-0.07,86945,0
493309,123276,1.6899,-0.0821,86913,0
493313,123277,1.7004,-0.0717,86949,0
493317,123278,1.7133,-0.0588,86901,0
493321,123279,1.7116,-0.0604,86896,0
493325,123280,1.7116,-0.0604,86896,0
493329,123281,1.7221,-0.05,86875,0
493333,123282,1.7253,-0.0469,86854,0
493337,123283,1.7294,-0.0429,86936,0
493341,123284,1.7302,-0.0422,86830,0
493345,123285,1.7536,-0.0191,86830,0
493349,123286,1.7922,0.0192,86964,0
493353,123287,1.8253,0.0518,86811,0
493357,123288,1.8398,0.0658,86978,0
493361,123289,1.8519,0.0773,86813,0
493365,123290,1.8543,0.0791,86813,0
493369,123291,1.8237,0.0481,86843,0
493373,123292,1.793,0.0171,86843,0
493377,123293,1.8116,0.0352,87043,0
493381,123294,1.8519,0.0749,86810,0
493385,123295,1.8768,0.0992,87019,0
493389,123296,1.8736,0.0954,86769,0
493393,123297,1.8414,0.0625,86769,0
493397,123298,1.8156,0.0363,87048,0
493401,123299,1.7963,0.0166,86819,0
493405,123300,1.7713,-0.0086,87082,0
493409,123301,1.7632,-0.0169,86823,0
493413,123302,1.7697,-0.0108,86823,0
493417,123303,1.7761,-0.0046,87079,0
493421,123304,1.7664,-0.0145,86846,0
493425,123305,1.7447,-0.0364,87115,0
493429,123306,1.735,-0.0463,86853,0
493433,123307,1.7382,-0.0432,86853,0
493437,123308,1.7286,-0.053,87131,0
493441,123309,1.6963,-0.0852,86887,0
493445,123310,1.6818,-0.0996,87139,0
493449,123311,1.6931,-0.0883,86890,0
493453,123312,1.7004,-0.081,86890,0
493457,123313,1.6931,-0.0882,86872,0
493461,123314,1.6867,-0.0946,86872,0
493465,123315,1.6915,-0.0897,87230,0
493469,123316,1.6988,-0.0824,86910,0
493473,123317,1.6963,-0.0847,87212,0
493477,123318,1.6859,-0.0951,86888,0
493481,123319,1.6931,-0.0878,86888,0
493485,123320,1.7068,-0.074,87189,0
493489,123321,1.7044,-0.0764,86933,0
493493,123322,1.6988,-0.082,87242,0
493497,123323,1.6988,-0.0819,86944,0
493501,123324,1.7125,-0.0681,86944,0
493505,123325,1.7286,-0.052,87265,0
493509,123326,1.7407,-0.04,86944,0
493513,123327,1.7842,0.0032,87255,0
493517,123328,1.8406,0.0592,86937,0
493521,123329,1.8575,0.0756,86937,0
493525,123330,1.8938,0.1113,87295,0
493529,123331,2.0275,0.2441,86962,0
493533,123332,2.3579,0.5723,87295,0
493537,123333,2.6819,0.8929,86921,0
493541,123334,2.7399,0.9474,86921,0
493545,123335,2.5191,0.7239,86865,0
493549,123336,2.0678,0.2716,86865,0
493553,123337,1.627,-0.1684,87357,0
493557,123338,1.374,-0.4196,86888,0
493561,123339,1.3136,-0.4779,87337,0
493565,123340,1.4183,-0.3714,86881,0
493569,123341,1.5545,-0.2338,86881,0
493573,123342,1.6174,-0.1699,87313,0
493577,123343,1.6399,-0.1466,86888,0
493581,123344,1.6899,-0.0962,87366,0
493585,123345,1.7471,-0.0389,86884,0
493589,123346,1.7801,-0.0058,86884,0
493593,123347,1.7729,-0.0131,87385,0
493597,123348,1.7616,-0.0244,86880,0
493601,123349,1.7664,-0.0195,87391,0
493605,123350,1.7793,-0.0067,86883,0
493609,123351,1.7737,-0.0125,86883,0
493613,123352,1.7705,-0.0159,86913,0
493617,123353,1.7858,-0.0009,86913,0
493621,123354,1.8003,0.0133,87451,0
493625,123355,1.8027,0.0153,86901,0
493629,123356,1.7874,-0.0004,87445,0
493633,123357,1.793,0.0049,86875,0
493637,123358,1.8148,0.0262,86875,0
493641,123359,1.8124,0.0234,87443,0
493645,123360,1.8035,0.0141,86936,0
493649,123361,1.8051,0.0153,87479,0
493653,123362,1.8237,0.0334,86964,0
493657,123363,1.8277,0.037,86964,0
493661,123364,1.8212,0.03,87473,0
493665,123365,1.8261,0.0343,86978,0
493669,123366,1.8462,0.0539,87505,0
493673,123367,1.8575,0.0646,86989,0
493677,123368,1.8486,0.0552,86989,0
493681,123369,1.8503,0.0563,87526,0
493685,123370,1.864,0.0694,87043,0
493689,123371,1.8728,0.0778,87556,0
493693,123372,1.8704,0.075,87019,0
493697,123373,1.8752,0.0796,87019,0
493701,123374,1.8922,0.0962,87048,0
493705,123375,1.9091,0.1129,87048,0
493709,123376,1.9212,0.1253,87625,0
493713,123377,1.9155,0.121,87082,0
493717,123378,1.9228,0.1309,87599,0
493721,123379,1.947,0.1581,87079,0
493725,123380,1.9566,0.1703,87079,0
493729,123381,1.9607,0.1751,87563,0
493733,123382,1.9873,0.2005,87115,0
493737,123383,2.0203,0.2311,87585,0
493741,123384,2.0412,0.2494,87131,0
493745,123385,2.038,0.2438,87131,0
493749,123386,2.0461,0.2498,87535,0
493753,123387,2.0727,0.2744,87139,0
493757,123388,2.0952,0.2951,87476,0
493761,123389,2.0936,0.2919,87168,0
493765,123390,2.0904,0.2872,87168,0
493769,123391,2.0993,0.2947,87168,0
493773,123392,2.1049,0.299,87230,0
493777,123393,2.0888,0.2817,87332,0
493781,123394,2.0735,0.2652,87212,0
493785,123395,2.0606,0.2511,87212,0
493789,123396,2.0525,0.2419,87189,0
493793,123397,2.0219,0.2103,87189,0
493797,123398,1.9687,0.1564,87113,0
493801,123399,1.9188,0.1059,87242,0
493805,123400,1.8986,0.0853,87017,0
493809,123401,1.8672,0.0537,87265,0
493813,123402,1.8212,0.0078,87265,0
493817,123403,1.7801,-0.0332,86882,0
493821,123404,1.7632,-0.05,87255,0
493825,123405,1.7447,-0.0682,86838,0
493829,123406,1.7116,-0.1008,87295,0
493833,123407,1.6867,-0.1253,87295,0
493837,123408,1.6794,-0.132,86787,0
493841,123409,1.6802,-0.1306,87295,0
493845,123410,1.6657,-0.1444,86740,0
493849,123411,1.6472,-0.1622,87318,0
493853,123412,1.6528,-0.1558,87318,0
493857,123413,1.6568,-0.151,87357,0
493861,123414,1.6552,-0.1518,87357,0
493865,123415,1.6407,-0.1654,86744,0
493869,123416,1.6432,-0.1621,87337,0
493873,123417,1.6577,-0.1467,86686,0
